nofinessej;rsej;nofinesset;rset;noautor;de;libde;ta;libta;capaut;dateautor
010780054;CH FLEYRIAT;010000024;CH DE FLEYRIAT;829700106;419;Formation DE Aide-Soignant;34;Enseignement;30;1979-02-13
010780054;CH FLEYRIAT;010000024;CH DE FLEYRIAT;829800882;419;Formation DE Aide-Soignant;34;Enseignement;31;1997-01-01
010780054;CH FLEYRIAT;010000024;CH DE FLEYRIAT;829700108;415;Formation DE Sage-Femme;34;Enseignement;14;1997-01-01
010780054;CH FLEYRIAT;010000024;CH DE FLEYRIAT;829800881;414;Formation DE Infirmier;34;Enseignement;62;1997-01-01
010780054;CH FLEYRIAT;010000024;CH DE FLEYRIAT;829700107;414;Formation DE Infirmier;34;Enseignement;60;1979-02-13
010780062;CH BUGEY SUD;010000032;CH BUGEY SUD;828600001;419;Formation DE Aide-Soignant;34;Enseignement;10;1986-01-31
690039904;ENSEIS - SIÈGE SOCIAL;010002459;ENSEIS - ÉTABLISSEMENT DE L'AIN;820304992;432;Formation DE d'assistant de Service Social;34;Enseignement;;2002-10-01
690039904;ENSEIS - SIÈGE SOCIAL;010002459;ENSEIS - ÉTABLISSEMENT DE L'AIN;820304991;433;Formation DE d'éducateur spécialisé;34;Enseignement;;2002-01-01
690039904;ENSEIS - SIÈGE SOCIAL;010002459;ENSEIS - ÉTABLISSEMENT DE L'AIN;820607108;432;Formation DE d'assistant de Service Social;34;Enseignement;20;2005-12-31
690039904;ENSEIS - SIÈGE SOCIAL;010002459;ENSEIS - ÉTABLISSEMENT DE L'AIN;820607109;433;Formation DE d'éducateur spécialisé;34;Enseignement;25;2005-12-31
690039904;ENSEIS - SIÈGE SOCIAL;010002459;ENSEIS - ÉTABLISSEMENT DE L'AIN;100604647;586;Formation DE auxiliaire de vie sociale;34;Enseignement;;2006-01-01
690039904;ENSEIS - SIÈGE SOCIAL;010002459;ENSEIS - ÉTABLISSEMENT DE L'AIN;100604648;587;Formation DE Assistant Familial;34;Enseignement;;2006-01-01
690039904;ENSEIS - SIÈGE SOCIAL;010002459;ENSEIS - ÉTABLISSEMENT DE L'AIN;100604649;588;Formation DE Ingénierie Sociale;34;Enseignement;;2006-01-01
690039904;ENSEIS - SIÈGE SOCIAL;010002459;ENSEIS - ÉTABLISSEMENT DE L'AIN;820707467;432;Formation DE d'assistant de Service Social;34;Enseignement;17;2007-04-10
