nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
SAS VASELINA;05701;Caméra à scintillation sans détecteur d'émission de positons;842610671;84-82-3888;84-82-3888;2002-06-12;010011112;2005-08-31;
SAS VASELINA;05705;Tomographe à émissions;842610672;84-82-69130;84-82-69130;2019-01-16;010011112;2020-10-05;
SAS VASELINA;05701;Caméra à scintillation sans détecteur d'émission de positons;842610676;84-82-3887;84-82-3887;2001-12-12;010011112;2003-11-26;
SCM CBGD;05701;Caméra à scintillation sans détecteur d'émission de positons;322610331;32-22-652;32-22-652;2007-07-20;020002598;2008-08-07;
SCM CBGD;05701;Caméra à scintillation sans détecteur d'émission de positons;322610332;32-22-653;32-22-653;2002-11-25;020002598;2005-09-23;
SCM CENTRE EXPLORATIONS ISOTOPIQUES;05705;Tomographe à émissions;322610333;32-22-40491;32-22-40491;2007-11-28;020007829;2007-11-28;
SCM CENTRE EXPLORATIONS ISOTOPIQUES;05701;Caméra à scintillation sans détecteur d'émission de positons;322610334;32-22-633;32-22-633;2004-05-12;020007829;2005-03-24;
SCM CENTRE EXPLORATIONS ISOTOPIQUES;05701;Caméra à scintillation sans détecteur d'émission de positons;322610335;32-22-660;32-22-660;2007-11-30;020007829;2008-12-14;
SELAS D'IMAGERIE SCINTIGRAPHIQUE;05705;Tomographe à émissions;322610768;32-22-867;32-22-867;2010-05-31;020018677;2022-03-17;
SELAS D'IMAGERIE SCINTIGRAPHIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;322610879;32-22-76725;32-22-76725;2022-10-18;020018677;;
CH DE MONTLUCON NERIS-LES-BAINS;05701;Caméra à scintillation sans détecteur d'émission de positons;842610336;84-83-35829;84-83-35829;1994-10-18;030000079;2015-11-16;
CH DE MONTLUCON NERIS-LES-BAINS;05705;Tomographe à émissions;842610843;84-83-75953;84-83-75953;2022-02-23;030000079;;
CENTRE ANTOINE LACASSAGNE;06301;Cyclotron à utilisation médicale;932610340;93-93-1884;93-93-1884;1987-01-06;060000528;1998-08-03;
CENTRE ANTOINE LACASSAGNE;06301;Cyclotron à utilisation médicale;932610339;93-93-43453;93-93-43453;2012-06-28;060024551;2016-09-14;
GIE MOUGINS TEP SITE HP TZANCK;05705;Tomographe à émissions;932610337;93-93-66011;93-93-66011;2018-04-12;060026184;2018-09-10;
GIE MOUGINS TEP SITE HP TZANCK;05705;Tomographe à émissions;932610338;93-93-4824;93-93-4824;2010-07-13;060026184;2010-07-13;
CTRE HOSPITALIER UNIVERSITAIRE DE NICE;44901;Caisson hyperbare;932610341;93-93-1944;93-93-1944;2003-03-12;060785003;2003-03-12;
"GCS ""TEP SUD CHAMPAGNE-GCS MOYENS""";05705;Tomographe à émissions;442610342;44-21-50846;44-21-50846;2014-05-28;100010024;2018-05-28;
HOPITAL PRIVE CLAIRVAL;44901;Caisson hyperbare;932610343;93-93-3793;93-93-3793;1988-03-15;130784051;2000-07-03;
APHM DIRECTION GENERALE;44901;Caisson hyperbare;932610344;93-93-1909;93-93-1909;2001-03-23;130784234;2004-05-04;
CLCC F BACLESSE;06301;Cyclotron à utilisation médicale;282610345;28-25-64693;28-25-64693;2015-10-30;140030891;2018-08-30;
CTRE MEDICO-CHIRURGICAL DE TRONQUIERES;05701;Caméra à scintillation sans détecteur d'émission de positons;842610346;84-83-35924;84-83-35924;2003-02-18;150780732;2007-12-21;
CTRE MEDICO-CHIRURGICAL DE TRONQUIERES;05705;Tomographe à émissions;842610840;84-83-75952;84-83-75952;2022-02-23;150780732;2024-09-23;
CH DE VIERZON;06201;Appareil d'IRM à utilisation clinique;242610347;24-24-44565;24-24-44565;2012-10-29;180000200;2016-09-20;
CH DE VIERZON;05602;Scanographe à utilisation médicale;242610348;24-24-733;24-24-733;2003-01-22;180000200;2004-03-29;
CH SAINT AMAND MONTROND;06201;Appareil d'IRM à utilisation clinique;242610349;24-24-68006;24-24-68006;2018-10-12;180000283;2021-02-08;
CH SAINT AMAND MONTROND;05602;Scanographe à utilisation médicale;242610350;24-24-835;24-24-835;2009-01-20;180000283;2010-01-12;
HOPITAL PRIVE GUILLAUME DE VARYE;05705;Tomographe à émissions;242610351;24-24-72176;24-24-72176;2019-10-11;180004145;2022-01-06;
HOPITAL PRIVE GUILLAUME DE VARYE;05705;Tomographe à émissions;242610352;24-24-1409;24-24-1409;2010-02-05;180004145;2012-02-01;
SELARL JEAN DE BERRY;06201;Appareil d'IRM à utilisation clinique;242610353;24-24-72177;24-24-72177;2019-10-11;180006249;2021-08-30;
SELARL JEAN DE BERRY;05602;Scanographe à utilisation médicale;242610354;24-24-822;24-24-822;2003-01-22;180006249;2003-10-14;
