Unnamed: 0,code_insee,nom_standard,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,code_postal,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,taille_unite_urbaine,population,superficie_hectare,superficie_km2,densite,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,distance_urgence_km
2813,9001,Aigues-Juntes,aigues-juntes,AIGUES-JUNTES,COM,commune,76,Occitanie,9,Ariège,903,Couserans Est,200067940,CC Couserans-Pyrénées,9240.0,7612.0,9225,9000,0.0,58,770,8,8.0,43.051,1.472,7,Rural à habitat très dispersé,11.967048868293539
2814,9002,Aigues-Vives,aigues-vives,AIGUES-VIVES,COM,commune,76,Occitanie,9,Ariège,906,Mirepoix,200044469,CC du Pays de Mirepoix,9600.0,7612.0,9225,9000,0.0,634,522,5,121.0,43.001,1.877,6,Rural à habitat dispersé,21.440884816804775
2815,9003,L'Aiguillon,l-aiguillon,L'AIGUILLON,COM,commune,76,Occitanie,9,Ariège,909,Pays d'Olmes,240900464,CC du Pays d'Olmes,9300.0,7612.0,9225,9000,0.0,379,646,6,59.0,42.91,1.9,6,Rural à habitat dispersé,23.506509791231036
2816,9004,Albiès,albies,ALBIÈS,COM,commune,76,Occitanie,9,Ariège,901,Haute-Ariège,200066363,CC de la Haute Ariège,9310.0,7612.0,9225,9000,0.0,121,779,8,16.0,42.754,1.698,6,Rural à habitat dispersé,31.22963816357789
2817,9005,Aleu,aleu,ALEU,COM,commune,76,Occitanie,9,Ariège,903,Couserans Est,200067940,CC Couserans-Pyrénées,9320.0,7622.0,31483,9000,0.0,126,1410,14,9.0,42.894,1.268,7,Rural à habitat très dispersé,16.28424146158274
2818,9006,Alliat,alliat,ALLIAT,COM,commune,76,Occitanie,9,Ariège,912,Sabarthès,240900431,CC du Pays de Tarascon,9400.0,7612.0,9225,9000,0.0,56,345,3,16.0,42.816,1.581,6,Rural à habitat dispersé,23.782722717531325
2819,9007,Allières,allieres,ALLIÈRES,COM,commune,76,Occitanie,9,Ariège,903,Couserans Est,200067940,CC Couserans-Pyrénées,9240.0,7612.0,9225,9000,0.0,74,912,9,8.0,43.038,1.364,7,Rural à habitat très dispersé,19.62662232494622
2820,9008,Alos,alos,ALOS,COM,commune,76,Occitanie,9,Ariège,903,Couserans Est,200067940,CC Couserans-Pyrénées,9200.0,7622.0,31483,9000,0.0,118,2385,24,5.0,42.898,1.129,7,Rural à habitat très dispersé,11.23192230777573
2821,9009,Alzen,alzen,ALZEN,COM,commune,76,Occitanie,9,Ariège,903,Couserans Est,200067940,CC Couserans-Pyrénées,9240.0,7612.0,9225,9000,0.0,266,1794,18,15.0,42.981,1.456,6,Rural à habitat dispersé,14.031757107417793
2822,9011,Antras,antras,ANTRAS,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,74,2019,20,4.0,42.873,0.901,7,Rural à habitat très dispersé,23.22654494230388
2823,9012,Appy,appy,APPY,COM,commune,76,Occitanie,9,Ariège,901,Haute-Ariège,200066363,CC de la Haute Ariège,9250.0,7612.0,9225,9000,0.0,28,613,6,5.0,42.804,1.742,7,Rural à habitat très dispersé,26.975431798578967
2824,9013,Arabaux,arabaux,ARABAUX,COM,commune,76,Occitanie,9,Ariège,913,Val d'Ariège,200067791,CA Pays Foix-Varilhes,9000.0,7612.0,9225,9000,0.0,80,459,5,17.0,42.98,1.634,7,Rural à habitat très dispersé,5.572619771571892
2825,9014,Argein,argein,ARGEIN,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,192,1111,11,17.0,42.924,0.991,6,Rural à habitat dispersé,13.958816380233692
2826,9015,Arignac,arignac,ARIGNAC,COM,commune,76,Occitanie,9,Ariège,912,Sabarthès,240900431,CC du Pays de Tarascon,9400.0,7612.0,9225,9201,2.0,712,865,9,82.0,42.876,1.595,6,Rural à habitat dispersé,17.025737342520156
2827,9016,Arnave,arnave,ARNAVE,COM,commune,76,Occitanie,9,Ariège,912,Sabarthès,240900431,CC du Pays de Tarascon,9400.0,7612.0,9225,9000,0.0,215,837,8,26.0,42.852,1.646,6,Rural à habitat dispersé,19.76079155379394
2828,9017,Arrien-en-Bethmale,arrien-en-bethmale,ARRIEN-EN-BETHMALE,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,112,1444,14,8.0,42.884,1.053,6,Rural à habitat dispersé,14.190365523261406
2829,9018,Arrout,arrout,ARROUT,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,92,301,3,31.0,42.948,1.02,6,Rural à habitat dispersé,10.495925310912357
2830,9019,Artigat,artigat,ARTIGAT,COM,commune,76,Occitanie,9,Ariège,902,Arize-Lèze,200066223,CC Arize Lèze,9130.0,7612.0,9225,9000,0.0,558,2412,24,23.0,43.143,1.447,6,Rural à habitat dispersé,18.72921553682815
2831,9020,Artigues,artigues,ARTIGUES,COM,commune,76,Occitanie,9,Ariège,901,Haute-Ariège,200066363,CC de la Haute Ariège,9460.0,7608.0,11069,9000,0.0,33,1245,12,3.0,42.69,2.038,7,Rural à habitat très dispersé,23.8120186680697
2832,9021,Artix,artix,ARTIX,COM,commune,76,Occitanie,9,Ariège,907,Pamiers-1,200067791,CA Pays Foix-Varilhes,9120.0,7612.0,9225,9000,0.0,115,744,7,15.0,43.067,1.563,7,Rural à habitat très dispersé,6.081733252545364
2833,9022,Arvigna,arvigna,ARVIGNA,COM,commune,76,Occitanie,9,Ariège,908,Pamiers-2,200066231,CC des Portes d'Ariège Pyrénées,9100.0,7612.0,9225,9000,0.0,230,866,9,27.0,43.059,1.729,6,Rural à habitat dispersé,9.798866114755391
2834,9023,Ascou,ascou,ASCOU,COM,commune,76,Occitanie,9,Ariège,901,Haute-Ariège,200066363,CC de la Haute Ariège,9110.0,7612.0,9225,9000,0.0,117,3580,36,3.0,42.719,1.932,7,Rural à habitat très dispersé,26.949214088426565
2835,9024,Aston,aston,ASTON,COM,commune,76,Occitanie,9,Ariège,901,Haute-Ariège,200066363,CC de la Haute Ariège,9310.0,7612.0,9225,9000,0.0,198,15424,154,1.0,42.681,1.66,6,Rural à habitat dispersé,38.78969427445178
2836,9025,Aucazein,aucazein,AUCAZEIN,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,58,605,6,10.0,42.921,0.966,6,Rural à habitat dispersé,15.818083894595112
2837,9026,Audressein,audressein,AUDRESSEIN,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,147,405,4,36.0,42.93,1.02,6,Rural à habitat dispersé,11.700379264274789
2838,9027,Augirein,augirein,AUGIREIN,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,80,971,10,8.0,42.911,0.917,7,Rural à habitat très dispersé,19.803373571053335
2839,9029,Aulus-les-Bains,aulus-les-bains,AULUS-LES-BAINS,COM,commune,76,Occitanie,9,Ariège,903,Couserans Est,200067940,CC Couserans-Pyrénées,9140.0,7622.0,31483,9000,0.0,159,5292,53,3.0,42.767,1.357,6,Rural à habitat dispersé,31.81231437561837
2840,9030,Auzat,auzat,AUZAT,COM,commune,76,Occitanie,9,Ariège,912,Sabarthès,200066363,CC de la Haute Ariège,9220.0,7612.0,9225,9000,0.0,531,16309,163,3.0,42.702,1.443,6,Rural à habitat dispersé,38.9295431196533
2841,9031,Axiat,axiat,AXIAT,COM,commune,76,Occitanie,9,Ariège,901,Haute-Ariège,200066363,CC de la Haute Ariège,9250.0,7612.0,9225,9000,0.0,44,964,10,5.0,42.8,1.761,7,Rural à habitat très dispersé,28.004095928315213
2842,9032,Ax-les-Thermes,ax-les-thermes,AX-LES-THERMES,COM,commune,76,Occitanie,9,Ariège,901,Haute-Ariège,200066363,CC de la Haute Ariège,9110.0,7612.0,9225,9000,0.0,1283,3016,30,43.0,42.687,1.818,5,Bourgs ruraux,36.50841284537691
2843,9033,Bagert,bagert,BAGERT,COM,commune,76,Occitanie,9,Ariège,911,Portes du Couserans,200067940,CC Couserans-Pyrénées,9230.0,7622.0,31483,9000,0.0,36,331,3,11.0,43.079,1.07,7,Rural à habitat très dispersé,10.08723121236413
2844,9034,Balacet,balacet,BALACET,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,44,214,2,21.0,42.888,0.983,7,Rural à habitat très dispersé,17.10929622707495
2845,9035,Balaguères,balagueres,BALAGUÈRES,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,197,1807,18,11.0,42.967,1.018,6,Rural à habitat dispersé,9.671423804773527
2846,9037,Barjac,barjac,BARJAC,COM,commune,76,Occitanie,9,Ariège,911,Portes du Couserans,200067940,CC Couserans-Pyrénées,9230.0,7622.0,31483,9000,0.0,43,275,3,16.0,43.062,1.135,7,Rural à habitat très dispersé,7.023708227959988
2847,9038,La Bastide-de-Besplas,la-bastide-de-besplas,LA BASTIDE-DE-BESPLAS,COM,commune,76,Occitanie,9,Ariège,902,Arize-Lèze,200066223,CC Arize Lèze,9350.0,7612.0,9225,9000,0.0,377,1036,10,36.0,43.169,1.274,6,Rural à habitat dispersé,22.28934744199034
2848,9039,La Bastide-de-Bousignac,la-bastide-de-bousignac,LA BASTIDE-DE-BOUSIGNAC,COM,commune,76,Occitanie,9,Ariège,906,Mirepoix,200044469,CC du Pays de Mirepoix,9500.0,7612.0,9225,9000,0.0,340,1261,13,27.0,43.058,1.884,6,Rural à habitat dispersé,22.03131953814972
2849,9040,La Bastide-de-Lordat,la-bastide-de-lordat,LA BASTIDE-DE-LORDAT,COM,commune,76,Occitanie,9,Ariège,910,Portes d'Ariège,200066231,CC des Portes d'Ariège Pyrénées,9700.0,7612.0,9225,9000,0.0,290,599,6,48.0,43.14,1.715,6,Rural à habitat dispersé,14.793395036502394
2850,9041,La Bastide-du-Salat,la-bastide-du-salat,LA BASTIDE-DU-SALAT,COM,commune,76,Occitanie,9,Ariège,911,Portes du Couserans,200067940,CC Couserans-Pyrénées,9160.0,7622.0,31483,9000,0.0,202,673,7,30.0,43.062,1.0,6,Rural à habitat dispersé,12.579096589101399
2851,9042,La Bastide-de-Sérou,la-bastide-de-serou,LA BASTIDE-DE-SÉROU,COM,commune,76,Occitanie,9,Ariège,903,Couserans Est,200067940,CC Couserans-Pyrénées,9240.0,7612.0,9225,9000,0.0,985,4138,41,24.0,43.024,1.427,6,Rural à habitat dispersé,15.367074463418456
2852,9043,La Bastide-sur-l'Hers,la-bastide-sur-l-hers,LA BASTIDE-SUR-L'HERS,COM,commune,76,Occitanie,9,Ariège,906,Mirepoix,200044469,CC du Pays de Mirepoix,9600.0,7612.0,9225,9000,0.0,674,480,5,140.0,42.951,1.9,6,Rural à habitat dispersé,24.65243004980674
2853,9044,Baulou,baulou,BAULOU,COM,commune,76,Occitanie,9,Ariège,913,Val d'Ariège,200067791,CA Pays Foix-Varilhes,9000.0,7612.0,9225,9000,0.0,167,1473,15,11.0,43.018,1.542,7,Rural à habitat très dispersé,6.1207233056132555
2854,9045,Bédeilhac-et-Aynat,bedeilhac-et-aynat,BÉDEILHAC-ET-AYNAT,COM,commune,76,Occitanie,9,Ariège,912,Sabarthès,240900431,CC du Pays de Tarascon,9400.0,7612.0,9225,9201,2.0,197,658,7,30.0,42.88,1.567,6,Rural à habitat dispersé,16.969604877400048
2855,9046,Bédeille,bedeille,BÉDEILLE,COM,commune,76,Occitanie,9,Ariège,911,Portes du Couserans,200067940,CC Couserans-Pyrénées,9230.0,7622.0,31483,9000,0.0,71,957,10,7.0,43.084,1.101,7,Rural à habitat très dispersé,9.71196391965586
2856,9047,Bélesta,belesta,BÉLESTA,COM,commune,76,Occitanie,9,Ariège,909,Pays d'Olmes,240900464,CC du Pays d'Olmes,9300.0,7612.0,9225,9000,0.0,1078,2689,27,40.0,42.894,1.953,6,Rural à habitat dispersé,18.985787934164264
2857,9048,Belloc,belloc,BELLOC,COM,commune,76,Occitanie,9,Ariège,906,Mirepoix,200044469,CC du Pays de Mirepoix,9600.0,7612.0,9225,9000,0.0,83,971,10,9.0,43.007,1.933,6,Rural à habitat dispersé,25.186982869952953
2858,9049,Bénac,benac,BÉNAC,COM,commune,76,Occitanie,9,Ariège,913,Val d'Ariège,200067791,CA Pays Foix-Varilhes,9000.0,7612.0,9225,9000,0.0,173,280,3,62.0,42.958,1.528,6,Rural à habitat dispersé,10.599742649736019
2859,9050,Benagues,benagues,BENAGUES,COM,commune,76,Occitanie,9,Ariège,907,Pamiers-1,200066231,CC des Portes d'Ariège Pyrénées,9100.0,7612.0,9225,9401,4.0,515,310,3,166.0,43.078,1.609,4,Ceintures urbaines,5.550047042238396
2860,9051,Bénaix,benaix,BÉNAIX,COM,commune,76,Occitanie,9,Ariège,909,Pays d'Olmes,240900464,CC du Pays d'Olmes,9300.0,7612.0,9225,9000,0.0,152,1469,15,10.0,42.895,1.851,7,Rural à habitat très dispersé,24.200938593703707
2861,9052,Besset,besset,BESSET,COM,commune,76,Occitanie,9,Ariège,906,Mirepoix,200044469,CC du Pays de Mirepoix,9500.0,7612.0,9225,9000,0.0,166,819,8,20.0,43.073,1.846,6,Rural à habitat dispersé,19.341002774905714
2862,9053,Bestiac,bestiac,BESTIAC,COM,commune,76,Occitanie,9,Ariège,901,Haute-Ariège,200066363,CC de la Haute Ariège,9250.0,7612.0,9225,9000,0.0,24,645,6,4.0,42.787,1.8,7,Rural à habitat très dispersé,30.739090905360424
2863,9054,Betchat,betchat,BETCHAT,COM,commune,76,Occitanie,9,Ariège,911,Portes du Couserans,200067940,CC Couserans-Pyrénées,9160.0,7622.0,31483,9000,0.0,356,2232,22,16.0,43.085,1.029,6,Rural à habitat dispersé,12.524880110374319
2864,9055,Bethmale,bethmale,BETHMALE,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,92,3190,32,3.0,42.854,1.078,6,Rural à habitat dispersé,16.64140102339253
2865,9056,Bézac,bezac,BÉZAC,COM,commune,76,Occitanie,9,Ariège,907,Pamiers-1,200066231,CC des Portes d'Ariège Pyrénées,9100.0,7612.0,9225,9000,0.0,467,830,8,56.0,43.152,1.574,6,Rural à habitat dispersé,14.16537255579262
2866,9057,Biert,biert,BIERT,COM,commune,76,Occitanie,9,Ariège,903,Couserans Est,200067940,CC Couserans-Pyrénées,9320.0,7622.0,31483,9000,0.0,312,2376,24,13.0,42.905,1.309,7,Rural à habitat très dispersé,18.026703029903345
2867,9058,Bompas,bompas,BOMPAS,COM,commune,76,Occitanie,9,Ariège,912,Sabarthès,240900431,CC du Pays de Tarascon,9400.0,7612.0,9225,9000,0.0,194,282,3,69.0,42.863,1.62,6,Rural à habitat dispersé,18.38862701059697
2868,9059,Bonac-Irazein,bonac-irazein,BONAC-IRAZEIN,COM,commune,76,Occitanie,9,Ariège,904,Couserans Ouest,200067940,CC Couserans-Pyrénées,9800.0,7622.0,31483,9000,0.0,124,3816,38,3.0,42.841,0.983,7,Rural à habitat très dispersé,21.193614074201054
2869,9060,Bonnac,bonnac,BONNAC,COM,commune,76,Occitanie,9,Ariège,910,Portes d'Ariège,200066231,CC des Portes d'Ariège Pyrénées,9100.0,7612.0,9225,9000,0.0,783,976,10,80.0,43.173,1.587,6,Rural à habitat dispersé,16.255589720611738
