nofinessej;nofinesset;libde_equipement;libta_equipement;lib_categorie_etablissement;coordyet;coordxet;raison_sociale;raison_sociale_longue;capinstot;commune;departement;libdepartement;client;longitude;latitude;groupe;groupe_equipement;code_insee
310026133;090003922;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6225284.3;587186.9;UCRM - ACT - ANTENNE PAMIERS;;14;225;09;ARIEGE;Personnes nécessitant prise en charge psycho soc et san SAI;1.614831572877213;43.11791978625785;Coordination / Administration;Hébergement;09225
750015968;110003068;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6236151.6;648325.9;ACT GROUPE SOS SOLIDARITES;ACT SOS HABITAT ET SOINS CARCASSONNE;16;069;11;AUDE;Personnes nécessitant prise en charge psycho soc et san SAI;2.364397312842166;43.22269802167327;Coordination / Administration;Hébergement;11069
120783931;120007562;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6361484.2;623238.6;ACT VILLEFRANCHE DE ROUERGUE;APPARTEMENT DE COORDINATION THERAPEUTIQUE;6;300;12;AVEYRON;Personnes nécessitant prise en charge psycho soc et san SAI;2.0370438589911295;44.348176091071274;Coordination / Administration;Hébergement;12300
750015968;300003399;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6305146.3;809570.4;ACT LOU CANTOU NIMES;APPARTEMENTS DE COORDINATION THERAPEUTIQUE LOU CANTOU NIMES;18;189;30;GARD;Personnes nécessitant prise en charge psycho soc et san SAI;4.362276576274105;43.83682124023518;Coordination / Administration;Hébergement;30189
300786324;300012259;Hébergement médico soc personnes en difficultés spécifiques;Hébergement de Nuit Eclaté;Appartement de Coordination Thérapeutique (A.C.T.);6336873.3;787150.3;ACT AGFAS ALES;ACT AGFAS ALES;9;007;30;GARD;Personnes nécessitant prise en charge psycho soc et san SAI;4.089009482246157;44.12545579915195;Coordination / Administration;Hébergement;30007
300008778;300021763;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6321460.7;748828.6;ACT ESCALE SANTÉ INTER' AIDE;;2;350;30;GARD;Personnes nécessitant prise en charge psycho soc et san SAI;3.608692491354445;43.99045435241878;Coordination / Administration;Hébergement;30350
300008778;300021763;Accueil orientation soins accompagnement diff spécifiques;Prestation en milieu ordinaire;Appartement de Coordination Thérapeutique (A.C.T.);6321460.7;748828.6;ACT ESCALE SANTÉ INTER' AIDE;;15;350;30;GARD;Personnes nécessitant prise en charge psycho soc et san SAI;3.608692491354445;43.99045435241878;Coordination / Administration;Autres;30350
310026133;310007638;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6277682.0;570366.8;ACT UCRM TOULOUSE;APPARTEMENT DE COORDINATION THERAPEUTIQUE SAMARIE;8;555;31;HAUTE GARONNE;Personnes nécessitant prise en charge psycho soc et san SAI;1.3952868681259376;43.58634086427104;Coordination / Administration;Hébergement;31555
310026133;310007638;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6277682.0;570366.8;ACT UCRM TOULOUSE;APPARTEMENT DE COORDINATION THERAPEUTIQUE SAMARIE;42;555;31;HAUTE GARONNE;Personnes nécessitant prise en charge psycho soc et san SAI;1.3952868681259376;43.58634086427104;Coordination / Administration;Hébergement;31555
310026133;310008768;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6282042.6;575343.2;ACT LA CLEF UCRM TOULOUSE;APPARTEMENT DE COORDINATION THERAPEUTIQUE LA CLEF UCRM;4;555;31;HAUTE GARONNE;Personnes nécessitant prise en charge psycho soc et san SAI;1.4558176129434655;43.62646108005533;Coordination / Administration;Hébergement;31555
310026133;310008768;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6282042.6;575343.2;ACT LA CLEF UCRM TOULOUSE;APPARTEMENT DE COORDINATION THERAPEUTIQUE LA CLEF UCRM;43;555;31;HAUTE GARONNE;Personnes nécessitant prise en charge psycho soc et san SAI;1.4558176129434655;43.62646108005533;Coordination / Administration;Hébergement;31555
310028253;310023684;Hébergement médico soc personnes en difficultés spécifiques;Hébergement de Nuit Eclaté;Appartement de Coordination Thérapeutique (A.C.T.);6278121.7;573438.0;UN CHEZ SOI D'ABORD TOULOUSE;ETABLISSEMENT EXPERIMENTAL UN CHEZ SOI D'ABORD TOULOUSE;100;555;31;HAUTE GARONNE;Personnes nécessitant prise en charge psycho soc et san SAI;1.4331867808792804;43.590851205829175;Coordination / Administration;Hébergement;31555
310028253;310031786;Hébergement médico soc personnes en difficultés spécifiques;Hébergement de Nuit Eclaté;Appartement de Coordination Thérapeutique (A.C.T.);6278121.7;573438.0;UN CHEZ SOI D'ABORD JEUNES TOULOUSE;UN CHEZ SOI D'ABORD JEUNES TOULOUSE;50;555;31;HAUTE GARONNE;Personnes avec Problèmes Psychiques;1.4331867808792804;43.590851205829175;Coordination / Administration;Hébergement;31555
320783046;320005077;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6285461.3;505417.4;ACT REGAR AUCH;APPARTEMENT COORDINATION THERAPEUTIQUE REGAR AUCH;5;013;32;GERS;Personnes nécessitant prise en charge psycho soc et san SAI;0.5887625323128629;43.6414556345938;Coordination / Administration;Hébergement;32013
340000686;340008879;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6280254.3;766762.4;ACT AERS L'EMBELLIE;ACT AERS L'EMBELLIE;45;172;34;HERAULT;Personnes nécessitant prise en charge psycho soc et san SAI;3.8268604449976227;43.61819275825087;Coordination / Administration;Hébergement;34172
750713406;340018118;Hébergement médico soc personnes en difficultés spécifiques;Hébergement de Nuit Eclaté;Appartement de Coordination Thérapeutique (A.C.T.);6282253.8;766980.9;ACT ANPAA 34 MONTPELLIER;APPARTEMENT COORDINATION THERAPEUTIQUE ANPAA 34 MONTPELLIER;12;172;34;HERAULT;Personnes nécessitant prise en charge psycho soc et san SAI;3.82982663420748;43.63616225677074;Coordination / Administration;Hébergement;34172
340787589;340025113;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6281755.7;766560.6;ACT LES HORIZONS DE REGAIN;ACT HANDICAP PSYCHIQUE LES HORIZONS DE REGAIN;10;172;34;HERAULT;Personnes nécessitant prise en charge psycho soc et san SAI;3.8245554784498634;43.63172029150637;Coordination / Administration;Hébergement;34172
340027895;340027903;Hébergement médico soc personnes en difficultés spécifiques;Hébergement de Nuit Eclaté;Appartement de Coordination Thérapeutique (A.C.T.);6278449.0;771012.2;ACT UN CHEZ SOI D'ABORD MONTPELLIER;ACT UN CHEZ SOI D'ABORD MONTPELLIER;100;172;34;HERAULT;Personnes nécessitant prise en charge psycho soc et san SAI;3.8792415593353673;43.601537067859795;Coordination / Administration;Hébergement;34172
340015775;340030964;Hébergement médico soc personnes en difficultés spécifiques;Hébergement Complet Internat;Appartement de Coordination Thérapeutique (A.C.T.);6256464.2;756700.5;ACT SOLIDARITÉ URGENCE SÉTOISE;;5;301;34;HERAULT;Personnes nécessitant prise en charge psycho soc et san SAI;3.6996391277525937;43.40503638935606;Coordination / Administration;Hébergement;34301
