numero_finess_etablissement;numero finess etablissement juridique;raison_sociale;rslongue;complrs;numvoie;typvoie;voie;compvoie;compldistrib;lieuditbp;code_commune;ligneacheminement;departement;libelle_departement;categetab;categorie;siret;codeape;coordxet;coordyet;dateouv;dateautor;longitude;latitude;type d etablissements;code_insee
300017910;300780038;HJ PSY GEN BOURDALOUE CHU NIMES;HJ PSY ADULTES BOURDALOUE CHU NIMES;;1;R;BOURDALOUE;;;;189;30000 NIMES;30;GARD;101;Centre Hospitalier Régional (C.H.R.);;;809551.7;6304644.3;1989-12-31;1989-12-31;4.3619364885755125;43.83230730698816;Hopitaux cliniques;30189
300782125;300780038;CTRE SOINS PA SERRE CAVALIER CHU NIMES;CENTRE DE SOINS POUR PERSONNES AGEES DE SERRE CAVALIER;CHU NIMES;;R;PITOT PROLONGE;;;;189;30006 NIMES CEDEX 4;30;GARD;101;Centre Hospitalier Régional (C.H.R.);26300003600255;8610Z;810999.2;6306598.9;1967-01-01;1967-01-01;4.380352770015004;43.849668028852214;Hopitaux cliniques;30189
300782166;300780038;HJ PIJ CMPEA EST PELLECUER CHU NIMES;HJ PSY INFANTO JUVENILE CMPEA EST PELLECUER CHU NIMES;;;R;CITE PAUL GIRAN;;;;189;30006 NIMES CEDEX 4;30;GARD;101;Centre Hospitalier Régional (C.H.R.);26300003600131;8610Z;810551.4;6306594.3;1976-01-01;1976-01-01;4.374784195189636;43.849696939029876;Hopitaux cliniques;30189
300782117;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;GROUPE HOSPITALO UNIV CAREMEAU;;PL;DU PROFESSEUR ROBERT DEBRE;;;;189;30029 NIMES CEDEX 9;30;GARD;101;Centre Hospitalier Régional (C.H.R.);26300003600032;8610Z;806105.0;6303501.8;1977-01-01;1977-01-01;4.318858327040276;43.82255394144814;Hopitaux cliniques;30189
300782141;300780038;CENTRE MEDICAL GRAU DU ROI CHU NIMES;CENTRE MEDICAL DU GRAU DU ROI CHU NIMES;;;RTE;DE CARNON;;;;133;30240 LE GRAU DU ROI;30;GARD;101;Centre Hospitalier Régional (C.H.R.);26300003600107;8610Z;789904.2;6273271.8;1975-03-07;1975-03-07;4.112223368640038;43.55281544945077;Hopitaux cliniques;30133
300018249;300780038;CMP PSY ADULTE SOMMIERES;CMP PSYCHIATRIE ADULTE SOMMIERES;;1;AV;EMILE JAMAIS;;;;321;30250 SOMMIERES;30;GARD;101;Centre Hospitalier Régional (C.H.R.);;;787902.4;6298588.6;2018-11-15;2018-11-15;4.0917921136742805;43.78084624043533;Hopitaux cliniques;30321
300018231;300780038;CMP PSY ADULTE VAUVERT;CMP PSYCHIATRIE ADULTE VAUVERT;;5;R;MAS DE BARBET;;;;341;30600 VAUVERT;30;GARD;101;Centre Hospitalier Régional (C.H.R.);;;803504.8;6289917.1;2018-11-15;2018-11-15;4.283799226507869;43.70071279339481;Hopitaux cliniques;30341
300016698;300780038;HJ PIJ CMPEA VAUVERT CHU NIMES;HJ PSY INFANTO JUVENILE CMPEA VAUVERT;;28;R;SALVADOR ALLENDE;;;;341;30600 VAUVERT;30;GARD;101;Centre Hospitalier Régional (C.H.R.);50912113300011;6820B;803332.6;6289570.7;2013-06-27;2013-06-27;4.2815940289197245;43.697621383856735;Hopitaux cliniques;30341
300018256;300780038;CMPEA PIJ ST GILLES;CMPEA PSYCHIATRIE INF JUV SAINT GILLES;;29;;GRAND RUE;;;;258;30800 ST GILLES;30;GARD;101;Centre Hospitalier Régional (C.H.R.);;;815506.5;6287565.0;2018-11-15;2018-11-15;4.432099688540209;43.67769417676326;Hopitaux cliniques;30258
300016680;300780038;HJ PIJ CMPEA OUEST MONTAURY CHU NIMES;HJ PSY INFANTO JUVENILE ET CMPEA OUEST MONTAURY CHU NIMES;;3;R;DE MONTAURY;;;;189;30900 NIMES;30;GARD;101;Centre Hospitalier Régional (C.H.R.);26300003600131;8610Z;808372.0;6304861.0;2013-06-27;2013-06-27;4.347319392848983;43.83443922073941;Hopitaux cliniques;30189
310019625;310781406;HJ PIJ ADOS APJA HOP PURPAN CHU TLSE;HJ PIJ ADOLESCENTS APJA PURPAN CHU TOULOUSE;PURPAN;;PL;DU DR BAYLAC;;;;555;31000 TOULOUSE;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);26310012500065;8610Z;574359.0;6279631.3;2018-01-01;2001-04-10;1.4442174535967618;43.604595205685825;Hopitaux cliniques;31555
310019351;310781406;HOPITAL LARREY CHU TOULOUSE;HOPITAL LARREY CHU TOULOUSE;;24;CHE;DE POUVOURVILLE;;;TSA 30030;555;31059 TOULOUSE CEDEX 9;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);26310012500529;8610Z;575222.5;6273879.4;2003-11-16;2000-06-30;1.456299477542001;43.55300489189957;Hopitaux cliniques;31555
310025333;310781406;ONCOPOLE CHU TOULOUSE;ONCOPOLE CHU TOULOUSE;;1;AV;IRENE JOLIOT CURIE;;;;555;31059 TOULOUSE CEDEX 9;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);26310012500628;8610Z;572808.7;6274179.4;2014-04-10;2013-12-03;1.426370722495038;43.5552749047287;Hopitaux cliniques;31555
310000484;310781406;HOTEL DIEU ST JACQUES CHU TOULOUSE;HOTEL DIEU SAINT JACQUES CHU TOULOUSE;;2;R;VIGUERIE;;PONT NEUF;;555;31059 TOULOUSE CEDEX 9;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);26310012500016;8610Z;573724.4;6279034.6;1901-01-01;1901-01-01;1.4365076841787117;43.59911458269352;Hopitaux cliniques;31555
310783063;310781406;HOPITAL LA GRAVE CHU TOULOUSE;HOPITAL LA GRAVE CHU TOULOUSE;;;PL;LANGE;;;TSA 60033;555;31059 TOULOUSE CEDEX 9;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);26310012500065;8610Z;573528.3;6279236.3;1901-01-01;1901-01-01;1.4340307702379043;43.60089408798431;Hopitaux cliniques;31555
