numero_finess_etablissement;rsej;activite;libactivite;forme;libforme;numero finess etablissement juridique;raison_sociale;rslongue;code_commune;departement;libelle_departement;categetab;categorie;coordyet;coordxet;longitude;latitude;groupe_activites;code_insee
130044977;APHM DIRECTION GENERALE;14;Médecine d'urgence;14;Non saisonnier;130786049;APHM ANTENNE SMUR DE MARIGNANE;APHM ANTENNE SMUR DE MARIGNANE SITE SDIS;054;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6260484.0;879240.3;5.212551799462348;43.42086695199801;Médecine d'urgence;13054
130044985;APHM DIRECTION GENERALE;14;Médecine d'urgence;14;Non saisonnier;130786049;APHM ANTENNE SMUR DE LOUVAIN;APHM ANTENNE SMUR DE LOUVAIN SITE BMPM;208;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6244839.0;894134.9;5.39045857856109;43.276279402014794;Médecine d'urgence;13208
130044993;APHM DIRECTION GENERALE;14;Médecine d'urgence;14;Non saisonnier;130786049;APHM ANTENNE SMUR DE PLOMBIERES;APHM ANTENNE SMUR DE PLOMBIERES SITE BMPM;203;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6249453.2;893151.8;5.380072662533945;43.31803526251453;Médecine d'urgence;13203
130045008;APHM DIRECTION GENERALE;14;Médecine d'urgence;14;Non saisonnier;130786049;APHM ANTENNE SMUR D'ENDOUME;APHM ANTENNE SMUR D'ENDOUME SITE BMPM;207;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6246007.2;891763.1;5.3617013004920056;43.28742514782393;Médecine d'urgence;13207
130045016;APHM DIRECTION GENERALE;14;Médecine d'urgence;14;Non saisonnier;130786049;APHM ANTENNE SMUR DE MARIGNANE;APHM ANTENNE SMUR MARIGNANE SITE HELICO SECURITE CIVILE BASE;054;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6261318.0;878895.8;5.208589368145437;43.4284538569524;Médecine d'urgence;13054
130045040;APHM DIRECTION GENERALE;14;Médecine d'urgence;14;Non saisonnier;130786049;APHM ANTENNE SMUR DE LAVERAN;APHM ANTENNE SMUR SITE DU HIA LAVERAN;213;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6253135.3;897405.0;5.433847066511874;43.34997755817416;Médecine d'urgence;13213
130047145;APHM DIRECTION GENERALE;04;Psychiatrie;01;Hospitalisation complète (24 heures consécutives ou plus);130786049;UNITE HOSPIT SPECIAL AMENAGEE UHSA;UNITE HOSPITALIERE SPECIALEMENT AMENAGEE UHSA;215;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6255998.2;891362.3;5.360445260686271;43.3773706644872;Psychiatrie;13215
130780521;APHM DIRECTION GENERALE;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);130786049;APHM HOPITAL NORD;APHM HOPITAL NORD;215;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6256392.5;891544.3;5.362834377978641;43.38086732019759;Soins de suite;13215
130780521;APHM DIRECTION GENERALE;12;Neurochirurgie;15;Forme non précisée;130786049;APHM HOPITAL NORD;APHM HOPITAL NORD;215;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6256392.5;891544.3;5.362834377978641;43.38086732019759;Chirurgie;13215
130780521;APHM DIRECTION GENERALE;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);130786049;APHM HOPITAL NORD;APHM HOPITAL NORD;215;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6256392.5;891544.3;5.362834377978641;43.38086732019759;Médecine;13215
130780521;APHM DIRECTION GENERALE;86;Greffe de poumon;00;Pas de forme;130786049;APHM HOPITAL NORD;APHM HOPITAL NORD;215;13;BOUCHES DU RHONE;101;Centre Hospitalier Régional (C.H.R.);6256392.5;891544.3;5.362834377978641;43.38086732019759;Greffe;13215
