numero_finess_etablissement;rsej;activite;libactivite;forme;libforme;numero finess etablissement juridique;raison_sociale;rslongue;code_commune;departement;libelle_departement;categetab;categorie;coordyet;coordxet;longitude;latitude;groupe_activites;code_insee
300016680;CHU NIMES;04;Psychiatrie;03;Hospitalisation à temps partiel de jour;300780038;HJ PIJ CMPEA OUEST MONTAURY CHU NIMES;HJ PSY INFANTO JUVENILE ET CMPEA OUEST MONTAURY CHU NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6304861.0;808372.0;4.347319392848983;43.83443922073941;Psychiatrie;30189
300016698;CHU NIMES;04;Psychiatrie;03;Hospitalisation à temps partiel de jour;300780038;HJ PIJ CMPEA VAUVERT CHU NIMES;HJ PSY INFANTO JUVENILE CMPEA VAUVERT;341;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6289570.7;803332.6;4.2815940289197245;43.697621383856735;Psychiatrie;30341
300017910;CHU NIMES;04;Psychiatrie;03;Hospitalisation à temps partiel de jour;300780038;HJ PSY GEN BOURDALOUE CHU NIMES;HJ PSY ADULTES BOURDALOUE CHU NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6304644.3;809551.7;4.3619364885755125;43.83230730698816;Psychiatrie;30189
300782117;CHU NIMES;14;Médecine d'urgence;00;Pas de forme;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Médecine d'urgence;30189
300782117;CHU NIMES;18;Traitement du cancer;00;Pas de forme;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Cancer;30189
300782117;CHU NIMES;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Hospitalisation complète (24 heures consécutives ou plus);300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Gynécologie;30189
300782117;CHU NIMES;17;AMP DPN;00;Pas de forme;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;AMP DPN;30189
300782117;CHU NIMES;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Hospitalisation à temps partiel de jour ou de nuit;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Gynécologie;30189
300782117;CHU NIMES;18;Traitement du cancer;15;Forme non précisée;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Cancer;30189
300782117;CHU NIMES;14;Médecine d'urgence;14;Non saisonnier;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Médecine d'urgence;30189
300782117;CHU NIMES;11;Activités interventionnelles sous imagerie médicale, par voie endovasculaire, en cardiologie;00;Pas de forme;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Autres;30189
300782117;CHU NIMES;02;Chirurgie;01;Hospitalisation complète (24 heures consécutives ou plus);300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Chirurgie;30189
300782117;CHU NIMES;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Médecine;30189
300782117;CHU NIMES;02;Chirurgie;07;Chirurgie ambulatoire;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Chirurgie;30189
300782117;CHU NIMES;01;Médecine;02;Hospitalisation à temps partiel de jour ou de nuit;300780038;CHU NIMES CAREMEAU;GROUPE HOPITALIER CAREMEAU CHU NIMES TERRITOIRE NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6303501.8;806105.0;4.318858327040276;43.82255394144814;Médecine;30189
300782141;CHU NIMES;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);300780038;CENTRE MEDICAL GRAU DU ROI CHU NIMES;CENTRE MEDICAL DU GRAU DU ROI CHU NIMES;133;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6273271.8;789904.2;4.112223368640038;43.55281544945077;Médecine;30133
300782166;CHU NIMES;04;Psychiatrie;03;Hospitalisation à temps partiel de jour;300780038;HJ PIJ CMPEA EST PELLECUER CHU NIMES;HJ PSY INFANTO JUVENILE CMPEA EST PELLECUER CHU NIMES;189;30;GARD;101;Centre Hospitalier Régional (C.H.R.);6306594.3;810551.4;4.374784195189636;43.849696939029876;Psychiatrie;30189
310014899;CHU TOULOUSE;04;Psychiatrie;03;Hospitalisation à temps partiel de jour;310781406;HJ PIJ PETITS 3 A 8 ANS GRAVE CHU TLSE;HJ PIJ PETITS 3 A 8 ANS GRAVE CHU TLSE (EX JARRIGE);555;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);6279236.3;573528.3;1.4340307702379043;43.60089408798431;Psychiatrie;31555
310016977;CHU TOULOUSE;02;Chirurgie;07;Chirurgie ambulatoire;310781406;HOPITAUX MERE & ENFANTS CHU TOULOUSE;HOPITAUX MERE & ENFANTS SITE VIGUIER CHU TOULOUSE;555;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);6279882.9;570937.8;1.401801915733064;43.60624383334087;Chirurgie;31555
310016977;CHU TOULOUSE;17;AMP DPN;00;Pas de forme;310781406;HOPITAUX MERE & ENFANTS CHU TOULOUSE;HOPITAUX MERE & ENFANTS SITE VIGUIER CHU TOULOUSE;555;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);6279882.9;570937.8;1.401801915733064;43.60624383334087;AMP DPN;31555
310016977;CHU TOULOUSE;80;Greffe de rein;00;Pas de forme;310781406;HOPITAUX MERE & ENFANTS CHU TOULOUSE;HOPITAUX MERE & ENFANTS SITE VIGUIER CHU TOULOUSE;555;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);6279882.9;570937.8;1.401801915733064;43.60624383334087;Greffe;31555
310016977;CHU TOULOUSE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;00;Pas de forme;310781406;HOPITAUX MERE & ENFANTS CHU TOULOUSE;HOPITAUX MERE & ENFANTS SITE VIGUIER CHU TOULOUSE;555;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);6279882.9;570937.8;1.401801915733064;43.60624383334087;Insuffisance rénale;31555
310016977;CHU TOULOUSE;10;Chirurgie cardiaque;01;Hospitalisation complète (24 heures consécutives ou plus);310781406;HOPITAUX MERE & ENFANTS CHU TOULOUSE;HOPITAUX MERE & ENFANTS SITE VIGUIER CHU TOULOUSE;555;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);6279882.9;570937.8;1.401801915733064;43.60624383334087;Chirurgie;31555
310016977;CHU TOULOUSE;02;Chirurgie;01;Hospitalisation complète (24 heures consécutives ou plus);310781406;HOPITAUX MERE & ENFANTS CHU TOULOUSE;HOPITAUX MERE & ENFANTS SITE VIGUIER CHU TOULOUSE;555;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);6279882.9;570937.8;1.401801915733064;43.60624383334087;Chirurgie;31555
310016977;CHU TOULOUSE;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);310781406;HOPITAUX MERE & ENFANTS CHU TOULOUSE;HOPITAUX MERE & ENFANTS SITE VIGUIER CHU TOULOUSE;555;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);6279882.9;570937.8;1.401801915733064;43.60624383334087;Médecine;31555
310016977;CHU TOULOUSE;01;Médecine;02;Hospitalisation à temps partiel de jour ou de nuit;310781406;HOPITAUX MERE & ENFANTS CHU TOULOUSE;HOPITAUX MERE & ENFANTS SITE VIGUIER CHU TOULOUSE;555;31;HAUTE GARONNE;101;Centre Hospitalier Régional (C.H.R.);6279882.9;570937.8;1.401801915733064;43.60624383334087;Médecine;31555
